"state","corn_price","soy_price","date"
"IOWA",4.37,9.86,2025-01-01
"MINNESOTA",4.2,9.78,2025-01-01
"WISCONSIN",4.19,9.92,2025-01-01
"IOWA",4.5,12.1,2024-04-01
"MINNESOTA",4.22,11.2,2024-04-01
"WISCONSIN",4.14,11.5,2024-04-01
"IOWA",4.02,10.1,2024-08-01
"MINNESOTA",3.7,9.95,2024-08-01
"WISCONSIN",3.73,10.5,2024-08-01
"IOWA",4.27,9.67,2024-12-01
"MINNESOTA",4.22,9.52,2024-12-01
"WISCONSIN",4.03,9.53,2024-12-01
"IOWA",4.39,11.7,2024-02-01
"MINNESOTA",4.31,11.5,2024-02-01
"WISCONSIN",4.14,12.1,2024-02-01
"IOWA",4.84,12.6,2024-01-01
"MINNESOTA",4.85,12.6,2024-01-01
"WISCONSIN",4.45,12.6,2024-01-01
"IOWA",4.32,11.2,2024-07-01
"MINNESOTA",4.13,10.8,2024-07-01
"WISCONSIN",4.08,11.9,2024-07-01
"IOWA",4.6,11.7,2024-06-01
"MINNESOTA",4.3,11.4,2024-06-01
"WISCONSIN",4.24,12.8,2024-06-01
"IOWA",4.43,11.7,2024-03-01
"MINNESOTA",4.26,11.3,2024-03-01
"WISCONSIN",4.09,11.6,2024-03-01
"IOWA",4.63,11.9,2024-05-01
"MINNESOTA",4.36,11.5,2024-05-01
"WISCONSIN",4.25,11.7,2024-05-01
"IOWA",4.12,9.85,2024-11-01
"MINNESOTA",4,9.73,2024-11-01
"WISCONSIN",3.9,9.73,2024-11-01
"IOWA",4.01,9.82,2024-10-01
"MINNESOTA",3.96,9.86,2024-10-01
"WISCONSIN",3.88,9.9,2024-10-01
"IOWA",4.09,10,2024-09-01
"MINNESOTA",3.89,10.1,2024-09-01
"WISCONSIN",3.7,10.2,2024-09-01
"IOWA",6.75,14.8,2023-04-01
"MINNESOTA",6.49,14.4,2023-04-01
"WISCONSIN",6.3,14.5,2023-04-01
"IOWA",5.77,14.1,2023-08-01
"MINNESOTA",5.59,13.6,2023-08-01
"WISCONSIN",5.63,14.3,2023-08-01
"IOWA",4.89,13,2023-12-01
"MINNESOTA",4.9,12.8,2023-12-01
"WISCONSIN",4.5,13,2023-12-01
"IOWA",6.83,15,2023-02-01
"MINNESOTA",6.62,15.1,2023-02-01
"WISCONSIN",6.34,14.8,2023-02-01
"IOWA",6.74,14.6,2023-01-01
"MINNESOTA",6.47,14.6,2023-01-01
"WISCONSIN",6.2,14.1,2023-01-01
"IOWA",6.33,14.7,2023-07-01
"MINNESOTA",6.11,14.4,2023-07-01
"WISCONSIN",6.16,14.7,2023-07-01
"IOWA",6.57,14.2,2023-06-01
"MINNESOTA",6.38,13.9,2023-06-01
"WISCONSIN",6.24,13.9,2023-06-01
"IOWA",6.7,14.9,2023-03-01
"MINNESOTA",6.47,14.5,2023-03-01
"WISCONSIN",6.25,14.4,2023-03-01
"IOWA",6.57,14.5,2023-05-01
"MINNESOTA",6.33,14.1,2023-05-01
"WISCONSIN",6.24,14.4,2023-05-01
"IOWA",4.74,13.2,2023-11-01
"MINNESOTA",4.7,12.9,2023-11-01
"WISCONSIN",4.4,12.8,2023-11-01
"IOWA",4.96,12.6,2023-10-01
"MINNESOTA",4.92,12.5,2023-10-01
"WISCONSIN",4.8,12.4,2023-10-01
"IOWA",5.22,13.1,2023-09-01
"MINNESOTA",5.16,12.9,2023-09-01
"WISCONSIN",5.07,13.7,2023-09-01
"IOWA",7.12,15.4,2022-04-01
"MINNESOTA",6.81,15.7,2022-04-01
"WISCONSIN",6.89,15.5,2022-04-01
"IOWA",7.4,15.3,2022-08-01
"MINNESOTA",7.09,14.4,2022-08-01
"WISCONSIN",6.95,15.7,2022-08-01
"IOWA",6.69,14.5,2022-12-01
"MINNESOTA",6.34,14.6,2022-12-01
"WISCONSIN",6.09,14.2,2022-12-01
"IOWA",6.11,14.5,2022-02-01
"MINNESOTA",5.86,14.8,2022-02-01
"WISCONSIN",5.84,14.7,2022-02-01
"IOWA",5.7,12.9,2022-01-01
"MINNESOTA",5.23,12.7,2022-01-01
"WISCONSIN",5.39,12.5,2022-01-01
"IOWA",7.44,15.5,2022-07-01
"MINNESOTA",6.95,15.1,2022-07-01
"WISCONSIN",6.79,15.2,2022-07-01
"IOWA",7.48,16.2,2022-06-01
"MINNESOTA",6.99,16.4,2022-06-01
"WISCONSIN",7.07,16.1,2022-06-01
"IOWA",6.59,15,2022-03-01
"MINNESOTA",6.33,15.6,2022-03-01
"WISCONSIN",6.34,15.2,2022-03-01
"IOWA",7.34,15.9,2022-05-01
"MINNESOTA",6.8,16,2022-05-01
